Title,Links,Company,Occupation,Experience
Data Scientist,https://wuzzuf.net/jobs/p/8oulgynroyag-data-scientist-egabi-fsi-cairo-egypt,Egabi FSI,Full Time / On-site,Full TimeOn-siteEntry Level · 1 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Data Mining · Data Science · data scientist · Hadoop · Machine Learning · Python · SQL
Data Scientist,https://wuzzuf.net/jobs/p/bu1ksr9tke5x-data-scientist-lumin-giza-egypt,Lumin,Full Time / Hybrid,Full TimeHybridExperienced · 3+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Analysis · Mathematics · Data Analysis · Hadoop · Data Science · Information Technology (IT)
AI Engineer,https://wuzzuf.net/jobs/p/qgconbaaa2gf-ai-engineer-provision-group-cairo-egypt,ProVision Group,Full Time / Part TimeFreelance / ProjectHybrid,Full TimePart TimeFreelance / ProjectHybridExperienced · 2 - 7 Yrs of Exp · IT/Software Development · AI · Computer Vision · Data Science · Machine Learning
Graduate Internship: Enterprise Software Engineering,https://wuzzuf.net/internship/2tshmlfj3ha9-graduate-internship-enterprise-software-engineering-et3-tomorrow-information-technology-cairo-egypt,eT3 Tomorrow Information Technology,Internshi / pHybrid,InternshipHybridEntry Level · IT/Software Development · Computer Science · Software Development · Software Engineering · Computer Engineering · Back-End Development · Front-End Development · front-end web development · Software Testing · Data Engineering
"AI Engineer (Computer Vision, Speech, NLP & Generative AI)",https://wuzzuf.net/jobs/p/gofovnetfvvf-ai-engineer-computer-vision-speech-nlp-generative-ai-madar-soft-alexandria-egypt,Madar Soft,Full Time / Remote,Full TimeRemoteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · computer · AI · NLP · Engineering · Information Technology (IT) · CUDA · Linux · Computer Science
3D Printer Maintenance Technician,https://wuzzuf.net/jobs/p/mgyqxkoukqrd-3d-printer-maintenance-technician-gazelle-3d-tech-giza-egypt,Gazelle 3D Tech,Full Time / On-site,Full TimeOn-siteExperienced · 2+ Yrs of Exp · males_only · Installation/Maintenance/Repair · 3D Printing · Machines · Maintenance
AI Engineer (Custom AI Solutions & GPT Tools) – On-Site,https://wuzzuf.net/jobs/p/cfylkx2k6qh2-ai-engineer-custom-ai-solutions-gpt-tools-–-on-site-stellar-charter-nexus-cairo-egypt,Stellar Charter Nexus,Full Time / On-site,Full TimeOn-siteExperienced · 2+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · AI · APIs · Computer Science · Development · Engineering · Frameworks · Information Technology (IT)
Senior Data Analyst,https://wuzzuf.net/jobs/p/kbzexl37bjxb-senior-data-analyst-xceed-contact-center-cairo-egypt,Xceed Contact Center,Full Time / On-site,Full TimeOn-siteExperienced · 3+ Yrs of Exp · Analyst/Research · Engineering - Telecom/Technology · ETL · Data Analysis · Communication skills · Python · SQL · Business Intelligence · PowerBI · Pandas
Senior Android Developer,https://wuzzuf.net/jobs/p/y7w3cylet287-senior-android-developer-madar-soft-alexandria-egypt,Madar Soft,Full Time / Remote,Full TimeRemoteExperienced · 3 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · APIs · Computer Science · Design · Android · Software Engineering · Git · Information Technology (IT) · Java
Senior AI Engineer,https://wuzzuf.net/jobs/p/id9koixxt5zx-senior-ai-engineer-link-development-cairo-egypt,Link Development,Full Time / Hybrid,Full TimeHybridExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · BI · Software Engineering · SQL · Software Development · Power BI · SSRS · SQL Server
Textile Engineer,https://wuzzuf.net/jobs/p/8cbxjq8papt4-textile-engineer-lotus-tex-sharqia-egypt,Lotus Tex ,Full Time / On-site,Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · males_only · Manufacturing/Production · Engineering - Other · Engineering · Textile · Production
Software Development Manager,https://wuzzuf.net/jobs/p/6usftpppfu2x-software-development-manager-giza-egypt,Confidential,Full Time / Hybrid,Full TimeHybridManager · 10+ Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Azure · Computer Science · developer · Engineering · ERP System · Information Technology (IT) · ERP
Senior Cost Accountant (Manufacturing Industry),https://wuzzuf.net/jobs/p/btahdzswqdgs-senior-cost-accountant-manufacturing-industry-selah-eltelmeez-for-publishing-printing-cairo-egypt,Selah ElTelmeez For Publishing & printing,Full Time / On-site,Full TimeOn-siteExperienced · 4 - 6 Yrs of Exp · Accounting/Finance · Accounting · analytical · Communication · Cost Accounting · ERP System · Finance · Financial Management · Cost · ERP
AI Engineering Manager,https://wuzzuf.net/jobs/p/x9ma4minmoqm-ai-engineering-manager-link-development-cairo-egypt,Link Development,Full Time / Hybrid,Full TimeHybridManager · 5+ Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · Computer Science · BI · Software Engineering · SQL · Software Development · Power BI · SSRS
Maintenance and Operations Supervisor (Technocans),https://wuzzuf.net/jobs/p/5tnwsyf0eirt-maintenance-and-operations-supervisor-technocans-eagle-chemicals-giza-egypt,Eagle Chemicals,Full Time / On-site,Full TimeOn-siteManager · 5 - 7 Yrs of Exp · Installation/Maintenance/Repair · Operations/Management · Engineering - Mechanical/Electrical · Engineering · Maintenance · dyes · presses · Mechanical Engineering · ERP · Communication
